,Unnamed: 0,Unnamed: 0.1,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
53,53,53,4606,4408,maintank,Gamsu,SHD,18.24354412,6.2643494870000005,7185.242481,0.0,4.176232991,6.594052091,5459.465515,165.99999999086836,56.99999999697407,65379.305903220906,0.0,37.999999994949675,59.9999999915469
54,54,54,8712,7698,maintank,Gator,ATL,13.43737191,5.8788502110000005,6701.287101,0.0,4.199178722,5.8788502110000005,714.4254147,15.999999998799803,6.999999999921431,7979.283026926144,0.0,4.9999999997737765,6.999999999921431
55,55,55,5210,4408,offtank,Geguri,SHD,16.85837018,5.43818393,6097.47149,0.0,3.589201394,4.241783465,5516.547507,154.99999998093693,50.00000000274827,56061.65191193846,0.0,33.00000000365271,38.99999999846596
56,56,56,4666,4410,maintank,Gesture,LDN,16.35473371,4.983838971,7330.782136,0.0,4.3548107510000005,5.080612543,12400.07961,338.0000000072512,103.00000000636747,151503.80348327642,0.0,89.99999999813983,105.00000000127427
57,57,57,4413,7697,flexsupport,Gido,WAS,8.268544077,4.695716388999999,7858.324109,10157.86343,4.899877971,2.143696612,5877.697397,80.99999999727112,45.99999999445923,76981.4186004194,99508.07906932083,47.99999999294058,20.999999993850196
58,58,58,8713,7693,maindps,GodsB,HZS,18.13220135,4.359148151,9814.268754,96.60474994,4.080904652,5.8431134789999986,12938.30768,390.99999997001896,94.0000000005685,211633.38132243708,2083.169963455303,88.00000000053222,126.000000000762
59,59,59,8789,4410,flexdps,Guard,LDN,18.5779409,3.45253769,6192.754774,7423.766804000001,5.178806535,3.534740968,7298.978973,225.99999998456119,42.00000000466666,75334.64480061895,90309.86300475236,63.00000000699998,43.00000000072278
60,60,60,8741,7693,maintank,Guxue,HZS,13.80556815,6.002420934,8554.840958,0.0,4.951997271000001,3.6014525610000003,3998.386695,92.00000001312627,40.000000000491795,57009.27044051377,0.0,33.00000000340452,24.000000004293465
61,61,61,4664,4407,flexsupport,HaGoPeun,FLA,14.16330741,5.579484735,5552.743021,8587.732665000001,4.107972278,3.2495900110000004,9785.849875,231.00000007955845,90.9999999942736,90563.84932993329,140063.77104387278,67.00000000528294,53.00000000490934
62,62,62,8750,7696,flexdps,Haksal,VAN,17.96875229,3.999496478,5656.630541,9167.420921,4.9848796680000005,4.695061082,10351.30303,310.0000000413274,69.00000001865955,97589.16143107308,158157.9199280545,86.00000001925633,81.00000000690278
